
Comment,Time Stamp (sec),Temperature (K),Field (Oe),Vlong (V),Vhall (V),Vr (V)
,3927057400.51136,7.99841403961182,134128.921875,-0.00000231778034,,
,3927057401.05381,7.99854326248169,134109.09375,-0.0000023215052,,
,3927057401.60579,7.99927949905396,134085.375,-0.0000023251059,,
,3927057402.14695,7.9996075630188,134065.5625,-0.00000231206888,,
,3927057402.6943,8,134041.765625,-0.00000232907909,,
,3927057403.24094,8.00017261505127,134022.1875,-0.00000231256553,,
,3927057403.79545,7.9997386932373,133998.40625,-0.00000232895495,,
,3927057404.33581,7.9998664855957,133978.59375,-0.00000231231724,,
,3927057404.88184,7.99860811233521,133954.9375,-0.00000231306221,,
,3927057405.42942,7.99869918823242,133934.984375,-0.00000231902199,,
,3927057405.97623,7.99880361557007,133915.28125,-0.00000231877366,,
,3927057406.52358,7.99850225448608,133891.71875,-0.00000231641459,,
,3927057407.06888,7.99850225448608,133868.171875,-0.00000231815214,,
,3927057407.61753,7.99849700927734,133848.390625,-0.00000233069251,,
,3927057408.16527,7.9997410774231,133828.53125,-0.00000232796094,,
,3927057408.70674,8.00001335144043,133804.75,-0.00000232075954,,
,3927057409.28477,8.0002555847168,133785.09375,-0.00000230821918,,
,3927057409.82491,8.00097751617432,133761.453125,-0.0000023032527,,
,3927057410.37604,8.00158214569092,133741.625,-0.00000115301556,,
,3927057410.92025,8.00168895721436,133717.9375,-0.00000042679202,,
,3927057411.46547,8.00209522247314,133694.015625,-0.00000035353644,,
,3927057412.00927,8.00010395050049,133678.171875,-0.000000339630296,,
,3927057412.5591,7.9999828338623,133654.84375,-0.0000003262208,,
,3927057413.10266,8.00045394897461,133631.34375,-0.000000333422196,,
,3927057413.64099,7.99938011169434,133611.53125,-0.000000323489214,,
,3927057414.196,7.9996075630188,133587.6875,-0.000000328952341,,
,3927057414.74072,7.99966049194336,133567.890625,-0.000000327710721,,
,3927057415.28638,7.99887132644653,133544.296875,-0.00000032696575,,
,3927057415.83315,7.99888944625854,133524.625,-0.000000315791172,,
,3927057416.37883,8,133500.953125,-0.000000311445503,,
,3927057416.92668,7.99953603744507,133481.078125,-0.000000334787942,,
,3927057417.47158,7.99991846084595,133457.296875,-0.000000313680409,,
,3927057418.02302,7.99992227554321,133437.546875,-0.000000328083196,,
,3927057418.5658,8.00004768371582,133417.8125,-0.000000321130126,,
,3927057419.11228,8.00006294250488,133394.15625,-0.000000336774534,,
,3927057419.65979,8.00067615509033,133370.46875,-0.000000335036266,,
,3927057420.2057,8.00100803375244,133350.59375,-0.000000333173836,,
,3927057420.75636,8.00111389160156,133330.734375,-0.0000003182744,,
,3927057421.30444,8.00092220306396,133306.890625,-0.000000308589768,,
,3927057421.84767,8.00093173980713,133287.453125,-0.000000340375229,,
,3927057422.39568,8.00107288360596,133263.734375,-0.000000346335003,,
,3927057422.93928,8.00071048736572,133243.90625,-0.00000181243942,,
,3927057423.48837,8.00047397613525,133219.921875,-0.00000222602342,,
,3927057424.03384,8.00067901611328,133200.109375,-0.00000228599367,,
,3927057424.5823,8.00185775756836,133180.234375,-0.00000229977565,,
,3927057425.13865,8.00118923187256,133156.65625,-0.00000231492341,,
,3927057425.68601,8.00107765197754,133137.015625,-0.00000232038654,,
,3927057426.23385,8.00121307373047,133113.203125,-0.00000233677592,,
,3927057426.78113,8.00041198730469,133093.375,-0.00000233118962,,
,3927057427.32063,8.00041198730469,133069.5625,-0.00000232336741,,
,3927057427.86886,7.99968147277832,133049.796875,-0.00000234025345,,
,3927057428.41025,8.0001392364502,133026.234375,-0.00000231480023,,
,3927057428.97095,8.00017261505127,133002.484375,-0.00000231728347,,
,3927057429.5643,7.99975156784058,132982.78125,-0.00000232051168,,
,3927057430.0826,7.9998664855957,132958.953125,-0.00000231566953,,
,3927057430.63,7.99983215332031,132939.03125,-0.00000232609948,,
,3927057431.17493,8,132919.484375,-0.00000232436121,,
,3927057431.73644,8.00033760070801,132895.828125,-0.00000231579403,,
,3927057432.28132,8.00040912628174,132875.96875,-0.00000232659613,,
,3927057432.82731,8.00050449371338,132852.25,-0.00000233019683,,
,3927057433.37602,8.0012378692627,132828.40625,-0.00000232013959,,
,3927057433.92813,8.00134468078613,132808.734375,-0.00000231293819,,
,3927057434.47517,8.00172328948975,132785.171875,-0.00000234248876,,
